en,ru
Nowadays almost everybody has been at the airport at least once in their life.,"В настоящее время почти все бывали в аэропорту, по крайней мере, один раз в своей жизни."
As a part of routine people follow a list of airport formalities there.,"В рамках рутины, люди соблюдают некоторые формальности в аэропорту."
"For instance, all passFor examplers are requested to arrive 2 hours before the departure time.","Например, все пассажиры должны прибывать за 2 часа до вылета рейса."
There is a long way to go before people actually get on their planes.,"И прежде чем попасть на свои самолеты, людям приходится проходить длинный путь."
"At first, passFor examplers should register their tickets at the check-in desk and wFor example their luggage.",Сначала пассажиры должны зарегистрировать свой билет на стойке регистрации и взвесить свой багаж.
At the same time they have it labeled and sometimes even checked.,"В то же время они должны получить к нему бирки, а иногда багаж даже проверяют."
Generally wFor examplet limit for economy-class passFor examplers is 20 kg and for business-class passFor examplers – 30 kg.,"Вообще предел веса для пассажиров эконом-класса составляет 20 кг, а для пассажиров бизнес-класса — 30 кг."
"In case the luggage is excessive, the special fee is assigned.","В случае, если багаж превышает указанный вес, назначается специальный сбор."
"Also each passFor exampler is allowed to have one small carry-on bag, where personal items, documents, a laptop, money and make-up can be kept.","Кроме того, каждому пассажиру разрешается иметь одну небольшую ручную кладь, где хранятся личные вещи, документы, ноутбук, деньги и макияж."
"The forbidden items in carry-on bags are water, food, weapon and drugs.","В ручной клади запрещены вода, продукты питания, оружие и наркотики."
"The next is the passport control post, where passFor examplers should have their identities checked.","Далее следует пост паспортного контроля, где проверяют личность пассажиров."
Sometimes the officers can ask additional questions.,Иногда офицеры могут задавать дополнительные вопросы.
"PassFor examplers, who carry excessive money or jewelry, will be asked to fill in the Customs declaration.","Пассажиров, которые везут большое количество денег или драгоценностей, попросят заполнить таможенную декларацию."
"After all these formalities people can go to the departure lounge and have a rest, read a newspaper, have a snack or simply shop in Duty-free.","После всех этих формальностей люди могут пройти в зал вылета и отдохнуть, почитать газеты, перекусить или просто совершить покупки в Duty-free."
"When the announcement about your flight is made, you should find thFor examplete number mentioned on your ticket.","Когда объявят Ваш полет, Вы должны найти номер терминала, указанный в билете."
Formalities may continue on board.,Формальности могут продолжиться и на борту.
"Some countries require filling in the Immigration form, which the stewardess will give you.","Некоторые страны требуют заполнения иммиграционных форм, которые раздает стюардесса."
The check-in desk procedure and the passport control are usually repeated after you arrive at your destination.,"Процедуры регистрации и паспортного контроля, как правило, повторяются после прибытия в пункт назначения."
