en,ru
"ThFor exampleowth of mass media services in the twentieth century through the press, radio and television has clearly improved information dispersal and news availability.","Расширение услуг средств массовой информации в ХХ веке через прессу, радио и телевидение явно увеличил скорость распространения информации и ее доступность."
But it has also led to a range of problems.,Но это также привело к ряду проблем.
"Among them have been the rising cost of newspaper production, circulation difficulties, the expense of new equipment in all branches of the media.","Среди них было возрастание стоимости производства газет, трудности с распространением, расходы на новое оборудование во всех отраслях средств массовой информации."
"The British mass media today incorporate the press , periodicals, magazines, radio and television.","Британские СМИ сегодня включают в себя прессу , периодику, журналы, радио и телевидение."
"The mass media have now expanded into homes and places of business, so that the influence is very powerful and an inevitable part of daily life.","Сейчас средства массовой информации распространяются в жилые дома и коммерческие предприятия, так что их влияние очень мощное они являются неотъемлемой частью повседневной жизни."
"Today it is estimated that some 61 per cent of British people obtain their news and views of current affairs from television, 20 per cent from newspapers and 15 per cent from radio.","Сегодня, по статистике, около 61 % британцев получают новую информацию и узнают о текущих делах с помощью телевидения, 20 % из газет и 15 % по радио."
"The first British newspaper to have some claim to national circulation appeared in early For exampleteenth century, such as «The Times»  «The Observer»  and «The Sunday Times» .","Первые британские газеты, которые претендовали на национальное тиражирование, появились в начале восемнадцатого века, такие как «The Times»  «The Observer»  и «The Sunday Times»  ."
"But most of them were quality newspapers, which catered for a relatively small, educated and largely London-based market.","Но большинство из них были качественные, узконаправленные, образованные и распространялись по большей степени в Лондоне."
The British buy newspapers more than other people except the Swedes and the Japanese.,"Британцы покупают газеты больше чем остальные люди, за исключением шведов и японцев."
Britain people read primarily national papers based in London.,Британцы читают по большей степени национальные лондонские газеты.
