en,ru
Good afternoon dear colleges!,"Добрый день, дорогие коллеги!"
&nbsp &nbsp &nbsp I want to prove the statement made by Kofi Annan which says «Arguing against globalization is like arguing against the laws of gravity».,"Я хочу доказать заявление Кофи Аннана, который говорит: «Отрицать глобализацию все равно, что оспаривать законы гравитации»."
"First of all we want to say that globalization isn’t an imminent fact now, it is the accomplished fact already.","Прежде всего, можно сказать, что сейчас глобализация не является неизбежным фактом, это уже свершившийся факт."
"At the same time, as you know, our world is not homogenous one.","В то же время, как вы знаете, наш мир не является однородным."
"So how it can happen, that the world is homogenous in many aspects and at another point not?","Так как могло случиться, что мир однороден во многих аспектах и в то же время нет?"
"Everything is really very easy, people all over thFor exampleobe use the same electronic devices, cars, clothes and production of famous brands.","Все действительно очень просто, люди по всему миру используют одни и те же электроприборы, автомобили, одежду и продукцию известных брендов."
"So every person is a subject of globalization in a varying degree, even you, my friends just look what language we are using now.","Таким образом, каждый человек является субъектом глобализации в той или иной степени, даже вы, друзья мои, просто посмотрите, какой язык мы сейчас используем."
"But all these people have their own individuality; they think, speak and live differently.","Но все люди по-своему индивидуальны, они думают, говорят и живут по-разному."
And after this we can talk about pluralization of some kind.,Исходя из этого мы можем говорить о некотором виде плюрализации.
"There is no need to be for or against globalization; it is funny when there are indigenous people, who think that globalization will lead to world dominance of some country or companies.","Нет необходимости быть за или против глобализации, это смешно, когда некоторые коренные народы думают, что глобализация приведет к мировому господству определенных стран или компаний."
Evil guys will appropriate all natural resources of our planet and everybody will become a subject of consumerist culture.,"Плохие парни присвоят все природные ресурсы нашей планеты, и все станет предметом потребительской культуры."
"It is even more interesting when people are ready to lose their ethnicity, when they are ready to be fully acculturated by other guys.","Еще интересней, когда люди готовы потерять свою этническую принадлежность, когда они готовы в полной мере принять культуру других людей."
Doing this they just fasten the process of global hegemony.,"Поступая так, они просто ускоряют процесс глобальной гегемонии."
"And now let’s return to the beginning of our talk, we’ve stated that there is no need to fight against globalization.","А теперь давайте вернемся к началу нашего разговора, мы заявили, что нет никакой необходимости борьбы с глобализацией."
The best way out from this situation is to adapt to it.,"Лучший выход из этой ситуации, адаптироваться к ней."
"The new world culture has already diffused all over the world, so try to take all that you need from it and stay a real human being.","Новая мировая культура уже распространяется по всему миру, так что постарайтесь принять все, что вам нужно от нее и остаться настоящим человеком."
"Just don’t forget who you are, remember your routes, your language, your history!","Просто не забывайте, кто вы, помните свой путь, свой язык, свою историю!"
