en,ru
You are what you eat.,"Ты есть то, что ты ешь."
I think it’s right.,"Я считаю, что это правильно."
Any food is food for the whole organism each cell so our state depends on the food we eat.,"Любая еда — это питание для всего организма, для каждой клетки, поэтому наше состояние во многом зависит от пищи, которую мы потребляем."
I prefer healthy food.,Я предпочитаю здоровую пищу.
Healthy food begins with healthy products.,Здоровая пища начинается с полезных продуктов.
Some foods help us to preserve youth and some sanity.,"Некоторые продукты помогают нам сохранить молодость, а некоторые и здравый рассудок."
The healthier food which I accept the better I feel.,"Чем здоровее пища, которую я принимаю, тем лучше я себя чувствую."
A healthy food is primarily natural products without chemical additives and intermediates.,"Здоровая пища – это, прежде всего, натуральные продукты без химических добавок и полуфабрикатов."
Another important factor is the freshness.,Еще один важный показатель – это свежесть.
It is undesirable to store any food for more than three days.,Нежелательно хранить любые продукты больше трех дней.
"I eat lots of fruits, vegetables and cereals.","Я ем много фруктов, овощей и злаковых."
Although I can’t live without meat I largely support the vegetarian and raw-foodists.,"Хоть я и не могу без мясного, я во многом поддерживаю вегетарианцев и сыроедов."
They are 10-20 years old live longer than ordinary people.,"Они на 10-20 лет дольше живут, чем обычные люди."
I think this is the most compelling figure.,"Мне кажется, это самый убедительный показатель."
Why do so many people eat junk food?,Почему же так много людей питаются нездоровой пищей?
Everyone understands how it harms the body.,"Ведь все понимают, как она вредит организму."
I believe that there are three main reasons for the popularity of such food: 1.,Я считаю что есть три основные причины высокой популярности такой пищи: 1.калорийность 2.доступность 3.вкусовые качества.
Caloric content.,"Хотя повышенное содержание жиров, соли и сахара приводит к ожирению."
2.,Этой проблемой страдают миллионы людей во всем мире.
Availability 3.,"Здоровое питание очень важно для меня, и я рекомендую всем задуматься о том, что они едят."
