en,ru
Many people say that health is above wealth and do their best to be healthy.,"Многие люди говорят, что здоровье превыше богатства и делают все возможное, чтобы быть здоровыми."
What are the key elements of people’s health?,Каковы ключевые элементы человеческого здоровья?
What do we need to do in order to be healthy?,"Что нам нужно сделать для того, чтобы быть здоровыми?"
"First of all, it is important to have a proper diet.","Прежде всего, важно правильно питаться."
In order to be healthy and feel well a person should have regular meals – at least three times a day plus have snacks in between.,"Для того, чтобы быть здоровым и чувствовать себя хорошо, человек должен питаться регулярно — по крайней мере, три раза в день, плюс перекусывать между приемами пищи."
"A person should eat a lot of vegetables and fruit, nuts, fish, lean meat, rye bread, dairy products.","Необходимо есть много овощей и фруктов, орехи, рыбу, постное мясо, ржаной хлеб, молочные продукты."
"A person should avoid eating many sweets – chocolates, candies, pies as they cause obesity.","А так же употреблять поменьше сладостей — шоколад, конфеты, пироги, поскольку они вызывают ожирение."
"A person should not overeat, as it does not contribute to health.","Нам не следует переедать, поскольку это не принесет пользы нашему здоровью."
"Secondly, a person should lead an active life.","Во-вторых, мы должны вести активный образ жизни."
"A person should play sports, go jogging, play different games, and walk a lot.","Заниматься спортом, бегать трусцой, играть в разные игры, много гулять."
Physical activity is an important part of a long and healthy life.,Физическая активность является важной составляющей долгой и здоровой жизни.
"Thirdly, people should avoid stressful situations in their life as they lead to health problems such as insomnia, mental disorders, and different illnesses.","В-третьих, люди должны избегать стрессовых ситуаций в жизни, потому что они вызывают проблемы со здоровьем, такие как бессонница, психические расстройства, различные заболевания."
It is important to balance family life and work.,Важно вести сбалансированную жизнь в семье и на работе.
"Moreover, people should find time for themselves and their hobbies.","Кроме того, люди должны найти время для себя и своих увлечений."
"So in order to be healthy and fit it is important to eat useful food containing a lot of nutrients and vitamins, be physically active and avoid stress.","Таким образом, для того, чтобы быть здоровым и поддерживать хорошую форму, важно принимать здоровую пищу, содержащую много питательных веществ и витаминов, быть физически активным и избегать стрессов."
