en,ru
"Many man, many minds.",Сколько людей — столько и мнений.
All people are different and so they prefer spending their free time in different ways.,"Все люди разные, и поэтому они предпочитают проводить свое свободное время по-разному."
"Some of them go the parks, forests, to the different country and enjoy the beauty of nature.","Некоторые из них идут в парки, леса, другие страны и наслаждаются красотой природы."
Others like to stay at home watching TV or reading books.,"Другие предпочитают остаться дома, смотреть телевизор или читать книги."
"There are people who are fond of cinema and theatres, so they try to go there as often as possible.","Есть люди, которые любят кино и театр, поэтому они пытаются ходить туда как можно чаще."
As for me I prefer to spend my free time in different ways.,"Что касается меня, я предпочитаю проводить свое свободное время по-разному."
"I like to go in for sports, to play football, basketball or volleyball with my friends.","Я люблю заниматься спортом, играть в футбол, баскетбол или волейбол с друзьями."
"I like to watch TV, to listen a tape recorder and play computer games.","Я люблю смотреть телевизор, слушать музыку и играть в компьютерные игры."
Also I like to go for a walk in the country and enjoy  the beauty of nature.,"Кроме того, я хотел бы попутешествовать по стране и насладиться красотой природы."
And my way of spending free time is connected with my hobby.,И мой способ проводить свободное время связано с моим хобби.
My hobby is reading books.,Мое хобби — чтение книг.
I’d like to say that it’s hard to imagine our life without  books.,"Я хотел бы сказать, что трудно себе представить нашу жизнь без книг."
Books play such a great role  in  the  development  of personality.,Книги играют такую большую роль в развитии личности.
"They help as to forget our daily problems and to pretend we travel to the past, future and to  many  different, wonderful  places  that  we can’t visit in reality.","Они помогают забыть о наших ежедневных проблемах и позволить себе путешествовать в прошлое, будущее, побывать во многих замечательных местах, которые мы не можем посетить в реальности."
I am also  sure that books are our good friends and teachers.,"Я также уверен, что книги являются нашими хорошими друзьями и учителями."
"From them we  get  to  know the life around as better,  they teach as how to  tell right from wrong,  to love our Motherland,  to  understand  friendship,  people’s feelings.",Из них мы лучше узнаем жизнь вокруг нас.
"So, they teach us how to live.","Они учат о том, как отличить правильное от неправильного, любить нашу Родину, понимать значение дружбы, человеческих чувств."
As for me I like to read different kinds  of  books.,"Что касается меня, я люблю читать разные книги."
My favorites books is: “Land of the Living.,"Мои любимые книги это: «Земля Живых» — Никки Френч, «Затерянный мир» — Артур Конан Дойл, «Джек Лондон» — Дочь снегов , « Бойцовский клуб» — Чак Паланик."
