en,ru
Vocabulary is one of the most important components of learning forFor example languages.,Словарный запас один из важнейших компонентов изучения иностранных языков.
There are many ways of improving vocabulary.,Есть много способов улучшения словарного запаса.
It is better if you have a system of learning new words.,"Лучше, если у вас есть система изучения новых слов."
"For example, you may learn 10 words a day; you put these words in your pocket note-book  and cross them out when you memorize them.","Например, вы можете выучить 10 слов в день."
"In addition to this, some words should be nodivided into groups, like: trees, fish, meat, etc.","Храните их в карманном блокноте  и вычеркивайте слово, когда запомните."
You may reward yourself with a bar of a chocolate if you are successful.,"В дополнение к  этому, некоторые слова должны быть разделены по группам, такие как: деревья, рыбы, мясо, и т.д."
"Reading forFor example literature, especially classical one, may enlarge your vocabulary.","В случае успеха, вы можете наградить себя шоколадкой."
With the help of reading you may understand when and how to use proper and suitable words.,"Чтение зарубежной литературы, особенно классической, может увеличить ваш словарный запас."
"Moreover, if you are ready to spend some money you can learn new vocabulary with pleasure by watching cable TV channels or DVD films.","Кроме того, если вы готовы потратить немного денег, вы можете узнавать новые слова с удовольствием, за просмотром кабельного телевидения или DVD фильмов."
"Nowadays, computer technologies may serve you in your study, including vocabulary level.","В настоящее время компьютерные технологии могут помочь вам в вашем обучении, включая словарный запас."
There are dozens of catching computer programmes with user-friendly interfaces.,Существуют десятки увлекательных компьютерных программ с удобным интерфейсом.
"Besides, a man can use World Wide Web to his benefit.",Кроме того вы можете использовать всемирную сеть в свою пользу.
"For example, a man can visit websites of the largest newspapers  read and translate their articles on different topics.","Например, посещать веб-сайты крупнейших газет  читать и переводить их статьи на разные темы."
And the final recommendation: I strongly advise you not to use these tips separately.,И последний совет: я настоятельно рекомендую вам использовать эти советы не по отдельности.
On the contrary you should combine them and you will find success in learning vocabulary.,"Напротив, вы должны объединить их, и вы добьетесь успеха в изучении слов."
