en,ru
Music has become the main activity because you don’t need much time to listen to music or you can do it with other things.,"Музыка стала популярным занятием, потому что для прослушивания музыки не нужно много времени, или вы можете слушать ее, одновременно занимаясь другими делами."
Many young people regularly go out on Friday or Saturday nights to a disco or to a concert.,Многие молодые люди регулярно ходят по пятницам или субботам на дискотеку или концерт.
"I think that teenagers spend more time watching TV, but they also like visiting friends and listening to music very much.","Я думаю, что подростки тратят больше времени на просмотр телевизора, но им так же очень нравится ходить к друзьям и слушать музыку."
There are different kinds of music for different ages and mood.,Есть разные виды музыки для разных возрастов и настроения.
"For example rock, pop, classic music, jazz and others.","Например, рок, поп, классическая музыка, джаз и другие."
I like to listen different kinds of music.,Мне нравится слушать разную музыку.
It depends on my mood.,Это зависит от моего настроения.
But music is a part of my life.,Но музыка является частью моей жизни.
"When I come home, I switch on my computer and music.","Когда я прихожу домой, я включаю музыку на своем компьютере."
There different kinds of music in my play list.,В моем плейлисте  много разных видов музыки.
"I like classic music, because all composers were very talented.","Мне нравится классическая музыка, потому что все композиторы были очень талантливы."
Most of their music is played by an orchestra.,Большую часть их музыки играет оркестр.
Sometimes I can listen to pop music.,Иногда я могу слушать поп-музыку.
This music is written for entertaining purposes.,Эта музыка написана для развлечения.
"We listen to this music on discos, parties.",Мы слушаем эту музыку на дискотеках и вечеринках.
I also like such style as r’n’b.,"Мне также нравится такой стиль, как r’n’b."
It is Rhythm and Blues.,Это ритм и блюз.
In this style lyrics is more important than music.,"В этом стиле текст песни важнее, чем музыка."
But together music and lyrics make wonderful songs.,Но вместе музыка и текст создают замечательные песни.
