en,ru
I went to school at the age of 6 as well as other pupils did.,"Я пошла в школу в 6 лет, как и другие ученики."
The school in which I studied was very strictly disciplined – we were not allowed to wear casual clothes and on the whole the discipline was rather cast-iron.,"Школа, в которой я училась, была очень строго дисциплинированной — нам не разрешали носить повседневную одежду и, в целом, дисциплина была довольно жесткой."
"Our uniform was the same for everyone – black-and-white suit, shoes and a plain satchel.","Наша форма была одинаковой для всех – черно-белый костюм, туфли и обычный рюкзак."
There were a lot of pupils in our class who didn’t accept school discipline.,"В нашем классе было много учеников, которые не придерживались школьной дисциплины."
"They bullied teachers, broke rules, disrupted lessons and were reluctant to learn any subject.","Они цеплялись к учителям, нарушали правила, срывали уроки и неохотно учили тот или иной предмет."
By and large all the pupils in our class were smart and witty but aggressive behavior didn’t let them show all their abilities.,"В общем и целом, все ученики в нашем классе были умными и сообразительными, но агрессивное поведение не позволяло им проявить свои способности."
"Our class did badly in almost every subject, but when it came to exams we started cramming round the clock.","Наш класс плохо учился практически по каждому предмету, но когда дело доходило до экзаменов, то мы все начинали зубрить день и ночь."
"We usually put in a lot of reading, slaved at books so as not to be dropped out  of school.","Мы обычно очень много читали, гнули спину над книжками для того, чтобы нас не исключили со школы."
As a result of hard-working we were at last promoted to another year.,В результате тяжелого труда мы наконец-то были переведены в следующий класс.
"Fortunately, all my classmates finished school and received a school certificate.","К счастью, все мои одноклассники окончили школу и получили школьный аттестат."
"Despite of the fact that we are now fresh from school, we are already ready to move forward – to get into university, apply for a job and earn a livelihood ourselves.","Несмотря на то, что мы только что вышли со школьной скамьи, мы готовы двигаться дальше – поступать в университет, подавать заявление на работу и зарабатывать на жизнь самостоятельно."
