en,ru
Dear friend.,Дорогой друг.
I am writing to you to tell about the party that took place last weekend at Tom’s house.,"Пишу тебе, чтобы рассказать о вечеринке, которая состоялась в прошлые выходные в доме Тома."
"Unfortunately, you weren’t there but I hoped to the last moment that you would make it.","К сожалению, тебя там не было, но я до последнего момента надеялся, что ты придешь."
"Nevertheless, I am more than sure that you will visit it next time because I am going to tell you about the party.","Тем не менее, я более чем уверен, что ты побываешь у него в следующий раз, потому что я расскажу тебе о той вечеринке."
"When I came to Tom’s house, I decided to help him and started decorating walls with colorful strips.","Когда я пришел в дом Тома, я решил помочь ему и начал украшать стены цветными ленточками."
This decoration made a magic atmosphere for the party.,Эти украшения сделали волшебную атмосферу для вечеринки.
"While I was helping Tom to prepare drinks, thFor exampleests came and joined us to help.","В то время, как я помогал Тому с напитками, пришли гости и присоединились к нам, чтобы помочь."
A lot of different peoplFor examplethered there.,Собралось много разных людей.
"Such as painters, musicians and writers.","Таких как художники, музыканты и писатели."
The atmosphere was special and warm.,Атмосфера была особенная и теплая.
I haven’t met those people before but I got the impression like I have known them all my life or I had met them elsewhere.,"Я не встречал этих людей раньше, но у меня сложилось впечатление, будто я знал их всю жизнь, или где-то уже встречал."
I met there a painter Ann.,Я встретил там художницу Энн.
She was wearing a red dress with a big yellow hat.,Она была одета в красное платье с большой желтой шляпе.
Her look was strange but when she told that she was painter all my doubts disappeared because almost all painters wear strange clothes.,"Вид у нее был странным, но когда она сказала, что она художница, все мои сомнения исчезли, потому что почти все художники немного странно одеваются."
"Furthermore, she told me that you were her classmate and that she was sorry that you had not come.","Кроме того, она рассказала мне, что ты был ее одноклассником и что ей очень жаль, что ты не приехал."
I gave her your phone number.,Я дал ей твой номер телефона.
One of thFor exampleests was too familiar to me but I didn’t know how I could know him.,"Один из гостей был хорошо знаком со мной, но я не понимал, откуда я его знаю."
His name was Andry.,Его звали Андрей.
It appeared he was a famous musician and he was a cousin of Tom as I learned later.,"Оказалось, что он известный музыкант, и как я узнал позже, он двоюродный брат Тома."
Andry brought somFor exampleod music and we were dancing all night long.,Андрей принес хорошую музыку и мы танцевали всю ночь напролет.
"Tom cooked a big pizza, which was delicious.","Том приготовил большую пиццу, которая была просто восхитительна."
A lot of salads were tasty as well.,Много салатов так же были очень вкусными.
There was a wide choice of juices and sweets too.,Был широкий выбор соков и сладостей.
"I should say, it was superb.","Я должен сказать, это было великолепно."
We had much fun.,У нас было очень весело.
"To my mind, everyone was enjoyed.","На мой взгляд, всем понравилось."
I wish you would feel better soon.,Я желаю тебе скорейшего выздоровления.
"Best wishes, 
Sam.","С наилучшими пожеланиями,
Сэм."
