en,ru
I live in Chelyabinsk.,Я живу в Челябинске.
There are many different shops in different parts of our city.,В разных частях нашего города есть много различных магазинов.
There is a wide range of boutiques along Lenin Avenue.,Вдоль проспекта Ленина большой выбор бутиков.
Many newsagent’s are on every bus stop.,На каждой автобусной остановке есть много газетных киосков.
"In addition, in every small region of our city are shops such as baker’s, greFor exampleocer’s, grocer’s, chemist’s, butcher’s, supermarkets, hardware stores, fishmonger’s, clothes shops, confectioner’s, bookshops, boutiques, jeweler’s, antique shops, flower stalls.","Кроме того, в каждом небольшом районе нашего города есть магазины, такие как пекарни, овощные, бакалейные, рыбные и мясные лавки, аптеки, супермаркеты, хозяйственные магазины, магазины одежды, кондитерские, книжные магазины, бутики, ювелирные, антикварные магазины, цветочные киоски."
In Chelyabinsk are plenty of large department stores and thousands of delightful smaller shops.,В Челябинске много больших универмагов и тысячи восхитительных небольших магазинов.
That’s why there is always something to suit everyone’s pocket and everyone’s taste.,Вот почему здесь всегда найдется что-то каждому по вкусу и по карману.
There are shops for every type for every type of people.,Здесь есть магазины всех видов для всех типов людей.
Pensioners and unemployees buy second- hand clothes.,Пенсионеры и безработные покупают подержанную одежду.
"Antique lovers, collectors can find rare books on the bookstalls.","Любители антиквара, коллекционеры могут найти редкие книги в книжных лавках."
Reach people prefer visiting boutiques.,Состоятельные люди предпочитают посещать бутики.
"There they can buy fashionable clothes, shoes.","Там они могут купить модную одежду, обувь."
"It offers variety of high quality trousers, blouses, designer clothes.","Им предлагают разнообразные высококачественные брюки, блузки, дизайнерскую одежду."
Everybody can choose his favorite shop from thFor exampleeat variety of shops.,"В большом разнообразии магазинов, каждый может выбрать свой любимый."
One of the best shops is Trading Center.,"Один из лучших магазинов, это торговый центр."
It is situated in the center of our city.,Он расположен в центре нашего города.
There we can buy everything from food to furniture.,"Там мы можем купить все, от продуктов питания до мебели."
"However, if I were to choose where to shop, I would certainly go to Moscow.","Тем не менее, если бы мне пришлось выбирать, где делать покупки, я бы, конечно, поехал в Москву."
Moscow is considered to be the consumer capital of Russia: a shopper’s paradise and a constant source of entertainment.,Москва считается потребительской столицей России: рай для покупателей и постоянный источник развлечений.
"Whether you have 50000 rubles or 5 rubles, Moscow is the place to spend it.","Если у вас есть 50000 рублей, или 5 рублей, Москва то место, где их потратить."
"Before shopping, I like to listen to ads.","Перед покупками, мне нравится слушать объявления."
It has become apart of our life.,Это стало частью нашей жизни.
It influences everyone.,Это влияет на всех.
Advertisers use many tricks.,Рекламодатели используют множество трюков.
Large promise is the soul of advertisement.,Большие обещания — это душа рекламы.
Ads make us to believe that we should be ashamed if we don’t buy advertised goods.,"Объявления заставляют нас поверить, что мы должны стыдиться, если мы не покупаем рекламируемые товары."
"Advertising is the first, second and third element of success.","Реклама — первый, второй и третий элемент успеха."
My experience of a shopper is very limited.,Мой опыт в покупателя весьма ограничен.
"As a rule, I go shopping to a nearest supermarket to buy bread, fruits and vegetables.","Как правило, я хожу за покупками в ближайший супермаркет, чтобы купить хлеб, фрукты и овощи."
"But at the weekend, my mother gives me a lift to a market and we buy goods and meal in a bulk for a long period.",Но в выходные дни мы с мамой едем на рынок и покупаем много товаров и еды надолго.
