en,ru
"When you're 18 or 19 years old, you have that gang mentality in your band.","Когда тебе 18 или 19 лет, легко перенимать бандитские повадки и переносить их в группу."
Now you have Black Sabbath and Kiss tribute albums.,А сейчас куча триьютов тем же самым BLACK SABBATH и KISS.
I was the one who sat down and copied them.,"Я был единственным, кто занялся копированием демо на кассете."
I grew up in as open an upbringing as you can imagine.,"Я вырос при таком свободном воспитании, что ты и представить себе не можешь."
"Their origins are unknown, but their aggression is notorious.","В отличие от их печально известной агрессивности, происхождение их неизвестно."
Kremlin promises punitive measures against the organisation,Кремль обещает принять к этой организации карательные меры.
Catalogue of services and additional services offered by the hotel,Каталог услуг и дополнительного сервиса в вашем отеле
After that they directly began to fulfill the ceremony.,После этого приступали непосредственно к совершению обряда.
The country was gradually recovering after the default of August 1998.,"Cтрана понемногу, но все же приходила в себя после дефолта в августе 1998 года."
"No, there were no other projects back then, and there are still no others.","Нет, у меня тогда не было никаких других проектов, нет их и сейчас."
The following are examples of many similar cases that might be cited:,Ниже приведены примеры многих подобных историй болезни.
"In 1983, I was managing a work group for a large construction organization.",В 1983 году я руководил рабочей группой для крупной строительной организации.
It should also have restrained South Ossetian militias from running amok against Georgian villages.,Она также не должна была позволять силам Южной Осетии нападать на грузинские деревни.
The mantra is that Russia cannot have a veto on Nato membership.,У России не может быть права вето на вступление стран в НАТО.
"When Nato's foreign ministers met last week, France and Germany made that point.",Франция и Германия указали на это на встрече министров иностранных дел НАТО на прошлой неделе.
"In our attitude, this is one of the greatest shortcomings of the real park business.","По нашему мнению, это один из самых больших недостатков сфере недвижимости страны."
He was less worried about the future of Europe and felt that Stalin could be trusted.,"Его меньше беспокоило будущее Европы, и он полагал, что Сталину можно было доверять."
When we received the forms back I was very optimistic that they were in order.,"Когда мы получили наши формы обратно, я был уверен что все будет в порядке."
"As he motioned towards the door, Walter could only bow his head and retire.","Так как он указал рукой на дверь, Уолтеру оставалось только поклониться и уйти."
It struck the third floor balcony on its way down and sort of ricochetted into the street.,"Падая, она ударилась о балкон на третьем этаже и рикошетом отскочила на улицу."
"Anything I've ever said, I certainly was feeling at the time.","Все что я говорил, я реально чувствовал в то время."
"Said this, I think I can understand how much my music can mean to some people.","Говоря о ней, я думаю, что могу понять, что моя музыка может значить для некоторых людей."
"Anyway, my life is far away from being a normal life.","Так или иначе, моя жизнь далека от того, чтобы назвать ее нормальной."
Information will be issued electronically wherever possible.,"Информация всегда, когда возможно, предоставляется в электронном виде."
In the last few years several constituencies came together to create a new momentum.,"В последние годы несколько влиятельных сил объединились, чтобы придать ей новый импульс."
Protect the device from exposure to direct sunlight and extreme temperatures.,"Защищайте прибор от длительного воздействия прямых солнечных лучей, резких перепадов температур."
Your company will have the opportunity to provide design and performance feedback for the product.,Ваша компания получит возможность оставить свои отзывы и предложения о структуре и работе продукта.
The old prince understood from this official report that our army had been defeated.,"Старый князь понял из этого официального известия, что наши были разбиты."
What makes spam so dangerous and why is it so difficult to combat?,Чем опасен спам и почему с ним трудно бороться
Software designed to harvest addresses must not be used.,не должно использоваться программное обеспечение для сбора адресов.
We indicated that the only people who could do this work were members of the armed forces.,"Нашей стороной ему было указано, что эту работу могут выполнить только военные."
I saw her far across the clearing .already and racing towards the chapel doors.,"Я увидел, что она уже пересекла поляну и спешит к церковным дверям."
And she would see the blood in streaks on my face and it would scare her even more.,А она увидит полосы крови на моем лице и оттого испугается еще больше.
In both locations they have many hundreds of IP addresses and servers.,В обоих городах у них есть сотни адресов IP и серверов.
"Of course, these two need not be exclusive, indeed, nor should they.","Koнечно эти две причины важны, но не единственные, а есть еще и много других."
There are many traditional Bulgarian dishes that have an unmistakable Greek or Turkish influence.,Несомненно на многие из традиционных болгарских блюд оказали влияние греческая и турецкая кухни.
